barangay,latitude,longitude,elevation,timezone,start_date,end_date
Agapito del Rosario,15.1449,120.5894,79.0,Asia/Manila,2020-01-01,2025-12-31
Amsic,15.1571,120.5711,93.0,Asia/Manila,2020-01-01,2025-12-31
Anunas,15.1561,120.5423,128.0,Asia/Manila,2020-01-01,2025-12-31
Balibago,15.164,120.5941,70.0,Asia/Manila,2020-01-01,2025-12-31
Capaya,15.1438,120.6293,45.0,Asia/Manila,2020-01-01,2025-12-31
Claro M. Recto,15.1472,120.5927,70.0,Asia/Manila,2020-01-01,2025-12-31
Cuayan,15.15,120.5135,108.0,Asia/Manila,2020-01-01,2025-12-31
Cutcut,15.12304478261633,120.60200146642106,82.0,Asia/Manila,2020-01-01,2025-12-31
Cutud,15.1702,120.6229,54.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes North West,15.1424,120.5862,82.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes Sur,15.1407,120.5891,67.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes Sur East,15.1435,120.594,74.0,Asia/Manila,2020-01-01,2025-12-31
Malabanias,15.1625,120.5783,86.0,Asia/Manila,2020-01-01,2025-12-31
Margot,15.1632,120.5598,117.0,Asia/Manila,2020-01-01,2025-12-31
Mining,15.1406,120.6114,56.0,Asia/Manila,2020-01-01,2025-12-31
Ninoy Aquino,15.1503,120.5962,60.0,Asia/Manila,2020-01-01,2025-12-31
Pampang,15.1468,120.561,92.0,Asia/Manila,2020-01-01,2025-12-31
Pandan,15.1519,120.6056,55.0,Asia/Manila,2020-01-01,2025-12-31
Pulung Cacutud,15.1644,120.6172,52.0,Asia/Manila,2020-01-01,2025-12-31
Pulung Maragul,15.1669,120.6013,57.0,Asia/Manila,2020-01-01,2025-12-31
Pulungbulu,15.1334,120.5984,60.0,Asia/Manila,2020-01-01,2025-12-31
Salapungan,15.1472,120.5977,60.0,Asia/Manila,2020-01-01,2025-12-31
San Jose,15.1291,120.5927,73.0,Asia/Manila,2020-01-01,2025-12-31
San Nicolas,15.1385,120.5862,85.0,Asia/Manila,2020-01-01,2025-12-31
Santa Teresita,15.1508,120.5869,89.0,Asia/Manila,2020-01-01,2025-12-31
Santa Trinidad,15.1473,120.5754,77.0,Asia/Manila,2020-01-01,2025-12-31
Santo Cristo,15.1363,120.6056,65.0,Asia/Manila,2020-01-01,2025-12-31
Santo Domingo,15.118,120.5883,68.0,Asia/Manila,2020-01-01,2025-12-31
Santo Rosario,15.1351,120.5869,65.0,Asia/Manila,2020-01-01,2025-12-31
Sapalibutad,15.1589,120.6286,45.0,Asia/Manila,2020-01-01,2025-12-31
Sapangbato,15.167,120.4899,228.0,Asia/Manila,2020-01-01,2025-12-31
Tabun,15.1491,120.6157,50.0,Asia/Manila,2020-01-01,2025-12-31
Virgen Delos Remedios,15.1494,120.5919,78.0,Asia/Manila,2020-01-01,2025-12-31
